,LOCATION,Year,Poverty index (no unit),GDP per hours worked wage (USD/hour),Gini coefficient (no units),Employment rate (% of working age population)
56,FIN,2004,0.065,55.707489,0.266,67.65
57,FIN,2005,0.066,56.779062,0.265,68.375
58,FIN,2006,0.069,58.155532,0.268,69.35
59,FIN,2007,0.078,60.024417,0.269,70.3
60,FIN,2008,0.079,59.322583,0.264,71.05
61,FIN,2009,0.074,56.695101,0.259,67.9
62,FIN,2010,0.072,58.669818,0.264,67.15
63,FIN,2011,0.075,59.482446,0.264,68.0
64,FIN,2012,0.065,58.526417,0.26,68.45
65,FIN,2013,0.071,58.741949,0.262,68.075
66,FIN,2014,0.068,58.857955,0.257,67.95
67,FIN,2015,0.063,59.336748,0.26,67.55
68,FIN,2016,0.058,60.730655,0.259,68.225
69,FIN,2017,0.063,62.258937,0.266,69.075
70,FIN,2018,0.065,61.547286,0.269,71.15
71,FRA,2012,0.085,63.316137,0.305,64.375
72,FRA,2013,0.079,64.173601,0.291,64.375
73,FRA,2014,0.081,64.791079,0.293,64.525
74,FRA,2015,0.081,65.316731,0.295,64.7
75,FRA,2016,0.083,65.499243,0.291,65.0
76,FRA,2017,0.081,66.881126,0.292,65.55
77,FRA,2018,0.085,67.155153,0.301,66.15
78,FRA,2019,0.084,67.417144,0.292,66.375
79,DEU,2008,0.09,61.593702,0.285,70.1
80,DEU,2011,0.087,62.706421,0.291,71.775
81,DEU,2012,0.084,63.093299,0.289,72.05
82,DEU,2013,0.091,63.392823,0.292,72.525
83,DEU,2014,0.095,64.049842,0.289,72.8
84,DEU,2015,0.101,64.376152,0.293,73.0
85,DEU,2016,0.104,65.248665,0.294,73.675
86,DEU,2017,0.104,66.411797,0.289,74.25
87,DEU,2018,0.098,66.438174,0.289,74.9
88,GRC,2004,0.12,39.452811,0.333,59.075
89,GRC,2005,0.129,38.333434,0.345,59.625
90,GRC,2006,0.127,39.9746,0.337,60.55
91,GRC,2007,0.132,41.019547,0.329,60.875
92,GRC,2008,0.129,40.446927,0.328,61.425
93,GRC,2009,0.129,39.400232,0.33,60.675
94,GRC,2010,0.141,39.042632,0.336,58.85
95,GRC,2011,0.151,36.290422,0.333,54.85
96,GRC,2012,0.149,34.410406,0.338,50.425
97,GRC,2013,0.151,33.622669,0.342,48.475
98,GRC,2014,0.148,33.42498,0.339,49.225
99,GRC,2015,0.149,34.620332,0.34,50.7
100,GRC,2016,0.144,33.18184,0.333,51.775
101,GRC,2017,0.126,33.647617,0.319,53.225
102,GRC,2018,0.121,32.410775,0.306,54.525
103,GRC,2019,0.115,33.475251,0.308,56.125
104,HUN,2006,0.072,33.072538,0.264,57.35
105,HUN,2007,0.065,33.89389,0.257,57.025
106,HUN,2008,0.059,34.790217,0.246,56.4
107,HUN,2009,0.061,33.741979,0.241,57.2
108,HUN,2010,0.073,34.179123,0.266,57.05
109,HUN,2011,0.077,35.080159,0.269,57.55
110,HUN,2012,0.085,34.628284,0.279,58.625
111,HUN,2013,0.086,34.899918,0.286,60.125
112,HUN,2014,0.087,34.490434,0.281,63.65
113,HUN,2015,0.085,35.041117,0.284,65.85
114,HUN,2016,0.077,34.246099,0.28,68.525
115,HUN,2017,0.08,35.29112,0.289,70.175
116,HUN,2018,0.087,36.720453,0.28,71.4
117,HUN,2019,0.092,38.138306,0.286,72.225
118,IRL,2004,0.134,61.65624,0.323,66.275
119,IRL,2005,0.116,61.878739,0.324,67.625
120,IRL,2006,0.114,62.235474,0.316,68.675
121,IRL,2007,0.096,63.259955,0.304,71.725
122,IRL,2008,0.091,61.498228,0.295,69.65
123,IRL,2009,0.088,64.448589,0.312,63.625
124,IRL,2010,0.091,71.96792,0.298,60.95
125,IRL,2011,0.1,73.674205,0.307,60.025
126,IRL,2012,0.094,73.983774,0.31,59.9
127,IRL,2013,0.095,72.541196,0.312,61.75
128,IRL,2014,0.093,76.196282,0.298,63.125
129,IRL,2015,0.098,91.344744,0.298,64.7
130,IRL,2016,0.091,90.260453,0.309,66.425
131,IRL,2017,0.09,94.816963,0.295,67.575
132,IRL,2018,0.074,99.808717,0.292,68.475
133,ITA,2004,0.122,52.754499,0.331,57.725
134,ITA,2005,0.126,52.990201,0.324,57.575
135,ITA,2006,0.123,52.873541,0.324,58.325
136,ITA,2007,0.119,52.833352,0.313,58.575
137,ITA,2008,0.119,52.532095,0.317,58.65
138,ITA,2009,0.12,51.485627,0.315,56.9
139,ITA,2010,0.134,52.656139,0.327,56.25
140,ITA,2011,0.128,53.011615,0.327,56.35
141,ITA,2012,0.13,52.728249,0.33,56.075
142,ITA,2013,0.133,53.147359,0.325,54.95
143,ITA,2014,0.137,53.189636,0.326,55.275
144,ITA,2015,0.144,53.221214,0.333,56.025
145,ITA,2016,0.137,53.057615,0.327,57.05
146,ITA,2017,0.139,53.399887,0.334,57.875
147,ITA,2018,0.142,53.393274,0.33,58.5
148,LUX,2015,0.109,99.777819,0.306,66.15
149,LUX,2016,0.111,101.763319,0.305,65.575
150,LUX,2017,0.122,100.25682,0.327,66.275
151,LUX,2018,0.114,98.602591,0.318,67.1
152,LUX,2019,0.105,98.573992,0.305,67.95
153,NLD,2011,0.072,66.274742,0.294,75.7
154,NLD,2012,0.074,66.176095,0.293,75.9
155,NLD,2013,0.078,66.678971,0.287,75.1
156,NLD,2014,0.077,67.172705,0.305,74.65
157,NLD,2015,0.077,67.832959,0.305,75.65
158,NLD,2016,0.081,67.727181,0.292,76.375
159,NLD,2017,0.079,68.095551,0.298,77.375
160,NLD,2018,0.078,67.876916,0.295,78.7
161,NLD,2019,0.082,67.760713,0.296,79.7
162,POL,2005,0.124,26.785275,0.327,52.775
163,POL,2006,0.11,27.626061,0.315,54.45
164,POL,2007,0.096,28.304503,0.315,57.025
165,POL,2008,0.107,28.474998,0.307,59.225
166,POL,2009,0.108,29.36572,0.303,57.175
167,POL,2010,0.107,31.346088,0.304,56.975
168,POL,2011,0.106,32.81389,0.301,57.45
169,POL,2012,0.104,33.210826,0.298,58.0
170,POL,2013,0.106,33.701293,0.299,58.425
171,POL,2014,0.104,34.154157,0.297,60.2
172,POL,2015,0.111,34.314904,0.291,61.6
173,POL,2016,0.103,35.702255,0.285,63.45
174,POL,2017,0.096,37.402839,0.275,65.25
175,POL,2018,0.098,39.697197,0.281,66.675
176,PRT,2004,0.132,34.873034,0.383,67.65
177,PRT,2005,0.126,35.267262,0.378,67.3
178,PRT,2006,0.124,35.925218,0.368,67.625
179,PRT,2007,0.128,36.484824,0.36,67.6
180,PRT,2008,0.113,36.718742,0.354,68.025
181,PRT,2009,0.116,36.568904,0.336,62.975
182,PRT,2010,0.109,37.676862,0.341,62.25
183,PRT,2011,0.114,38.253287,0.337,61.85
184,PRT,2012,0.13,38.624047,0.337,59.325
185,PRT,2013,0.135,39.167282,0.341,58.825
186,PRT,2014,0.135,38.770072,0.338,61.2
187,PRT,2015,0.125,38.765602,0.336,62.8
188,PRT,2016,0.125,38.80674,0.331,64.225
189,PRT,2017,0.107,39.115124,0.32,66.95
190,PRT,2018,0.104,39.068634,0.317,69.025
191,PRT,2019,0.106,39.642999,0.31,69.85
192,SVK,2004,0.083,29.479993,0.267,56.975
193,SVK,2005,0.072,30.452689,0.289,57.7
194,SVK,2006,0.065,32.274833,0.251,59.425
195,SVK,2007,0.069,34.710742,0.246,60.7
196,SVK,2008,0.072,35.458834,0.257,62.25
197,SVK,2009,0.079,34.443626,0.267,61.85
198,SVK,2010,0.08,36.662848,0.265,60.425
199,SVK,2011,0.082,37.224208,0.262,61.0
200,SVK,2012,0.085,37.794361,0.251,61.375
201,SVK,2013,0.085,38.717119,0.27,61.575
202,SVK,2014,0.088,39.486602,0.247,62.7
203,SVK,2015,0.085,40.869041,0.25,64.525
204,SVK,2016,0.085,41.019355,0.241,66.7
205,SVK,2017,0.073,41.962499,0.22,68.075
206,SVK,2018,0.077,42.94424,0.236,69.55
207,SVK,2019,0.078,43.915066,0.222,70.425
208,ESP,2007,0.144,46.335693,0.313,65.8
209,ESP,2008,0.146,46.455022,0.327,64.475
210,ESP,2009,0.148,47.574562,0.333,59.95
211,ESP,2010,0.139,48.783989,0.339,58.85
212,ESP,2011,0.147,49.504172,0.341,58.025
213,ESP,2012,0.141,50.45889,0.334,55.75
214,ESP,2013,0.159,51.186839,0.345,54.825
215,ESP,2014,0.153,51.339305,0.343,56.0
216,ESP,2015,0.153,51.745407,0.344,57.8
217,ESP,2016,0.156,51.978712,0.341,59.55
218,ESP,2017,0.148,52.431783,0.333,61.1
219,ESP,2018,0.142,52.314162,0.33,62.4
220,ESP,2019,0.147,52.401553,0.32,63.3
221,SWE,2013,0.086,65.583048,0.268,73.95
222,SWE,2014,0.09,66.351351,0.274,74.425
223,SWE,2015,0.092,68.27252,0.278,75.025
224,SWE,2016,0.091,67.864029,0.282,75.725
225,SWE,2017,0.093,68.496433,0.282,76.325
226,SWE,2018,0.089,68.72116,0.275,76.85
227,SWE,2019,0.093,70.343745,0.28,76.575
228,EST,2013,0.158,34.255974,0.356,69.175
229,EST,2014,0.157,35.138109,0.346,70.225
230,EST,2015,0.16,34.947358,0.33,72.075
231,EST,2016,0.158,35.864899,0.314,72.4
232,EST,2017,0.158,36.927656,0.309,74.5
233,EST,2018,0.163,39.076217,0.305,75.05
234,EST,2019,0.149,40.473334,0.305,75.55
235,SVN,2004,0.079,34.599443,0.241,65.275
236,SVN,2005,0.071,36.938074,0.24,65.95
237,SVN,2006,0.074,39.128271,0.237,66.55
238,SVN,2007,0.079,40.808356,0.238,67.75
239,SVN,2008,0.079,40.752803,0.234,68.575
240,SVN,2009,0.083,38.181149,0.245,67.075
241,SVN,2010,0.091,39.491962,0.245,65.525
242,SVN,2011,0.086,40.925467,0.243,63.825
243,SVN,2012,0.095,40.691154,0.249,63.575
244,SVN,2013,0.095,40.292879,0.254,62.775
245,SVN,2014,0.093,40.753894,0.251,63.4
246,SVN,2015,0.092,40.981064,0.25,64.65
247,SVN,2016,0.086,42.404997,0.244,65.325
248,SVN,2017,0.085,44.000646,0.243,68.725
249,SVN,2018,0.075,45.1561,0.249,70.55
250,SVN,2019,0.074,45.42766,0.246,71.275
251,LVA,2004,0.142,24.43295,0.364,61.025
252,LVA,2005,0.176,26.442685,0.391,62.15
253,LVA,2006,0.146,27.961343,0.35,65.9
254,LVA,2007,0.186,30.061651,0.375,68.125
255,LVA,2008,0.191,27.525735,0.375,68.225
256,LVA,2009,0.141,28.267079,0.354,60.05
257,LVA,2010,0.133,29.187427,0.346,58.2
258,LVA,2011,0.129,29.23211,0.351,60.575
259,LVA,2012,0.133,31.115666,0.346,62.775
260,LVA,2013,0.145,31.137564,0.351,64.85
261,LVA,2014,0.164,31.992581,0.349,66.125
262,LVA,2015,0.162,33.403752,0.346,68.05
263,LVA,2016,0.167,34.278257,0.346,68.575
264,LVA,2017,0.166,35.726824,0.355,69.975
265,LVA,2018,0.175,36.376781,0.351,71.725
266,LVA,2019,0.162,38.000804,0.344,72.225
267,LTU,2004,0.137,26.015947,0.349,
268,LTU,2005,0.145,27.815226,0.352,62.85
269,LTU,2006,0.136,30.039651,0.328,63.625
270,LTU,2007,0.132,32.198426,0.337,65.0
271,LTU,2008,0.146,32.963896,0.357,64.4
272,LTU,2009,0.15,31.54323,0.365,59.875
273,LTU,2010,0.127,32.830639,0.329,57.55
274,LTU,2011,0.126,35.09795,0.321,60.2
275,LTU,2012,0.143,35.814127,0.35,62.025
276,LTU,2013,0.124,36.91694,0.351,63.725
277,LTU,2014,0.157,37.615436,0.38,65.65
278,LTU,2015,0.165,37.326012,0.372,67.25
279,LTU,2016,0.168,36.953394,0.378,69.375
280,LTU,2017,0.173,39.682168,0.374,70.375
281,LTU,2018,0.155,40.536245,0.361,72.4
282,LTU,2019,0.154,42.122569,0.357,72.975
283,AUT,1995,,51.105772,,
284,AUT,1996,,51.175266,,
285,AUT,1997,,51.62205,,
286,AUT,1998,,53.568424,,
287,AUT,1999,,54.513967,,68.525
288,AUT,2000,,55.825179,,68.5
289,AUT,2001,,56.533555,,68.375
290,AUT,2002,,57.591558,,68.75
291,AUT,2003,,58.071618,,68.95
292,AUT,2004,,59.181589,,66.525
293,AUT,2005,,60.63234,,67.4
294,AUT,2006,,62.218785,,68.575
295,AUT,2020,,69.760137,,71.725
296,BEL,1970,,27.497166,,
297,BEL,1971,,28.485856,,
298,BEL,1972,,30.468756,,
299,BEL,1973,,32.532014,,
300,BEL,1974,,33.924965,,
301,BEL,1975,,34.141031,,
302,BEL,1976,,36.207479,,
303,BEL,1977,,37.115528,,
304,BEL,1978,,38.507129,,
305,BEL,1979,,39.422417,,
306,BEL,1980,,41.729091,,
307,BEL,1981,,42.974937,,
308,BEL,1982,,44.17632,,
309,BEL,1983,,44.7383,,
310,BEL,1984,,45.213096,,
311,BEL,1985,,45.575369,,
312,BEL,1986,,46.657876,,
313,BEL,1987,,47.821332,,
314,BEL,1988,,49.479833,,
315,BEL,1989,,50.695138,,
316,BEL,1990,,51.285906,,
317,BEL,1991,,53.247397,,
318,BEL,1992,,54.911491,,
319,BEL,1993,,56.284298,,
320,BEL,1994,,58.348072,,
321,BEL,1995,,58.593596,,
322,BEL,1996,,59.324556,,
323,BEL,1997,,60.888272,,
324,BEL,1998,,61.322735,,
325,BEL,1999,,62.591788,,59.3
326,BEL,2000,,63.08917,,60.525
327,BEL,2001,,63.233672,,59.95
328,BEL,2002,,63.667303,,59.9
329,BEL,2003,,64.204011,,59.6
330,BEL,2004,,66.278551,,60.35
331,BEL,2005,,67.287921,,61.075
332,BEL,2006,,67.637137,,61.0
333,BEL,2007,,68.887444,,62.025
334,BEL,2008,,68.464336,,62.4
335,BEL,2009,,68.020751,,61.6
336,BEL,2010,,69.053627,,62.025
337,BEL,2011,,68.581978,,61.925
338,BEL,2012,,68.923207,,61.825
339,BEL,2013,,69.517696,,61.8
340,BEL,2014,,70.513657,,61.9
341,BEL,2015,,71.604653,,61.8
342,BEL,2016,,71.674769,,62.3
343,BEL,2017,,71.534022,,63.125
344,BEL,2020,,74.487852,,64.45
345,CZE,1993,,21.584056,,
346,CZE,1994,,22.182228,,
347,CZE,1995,,23.555989,,
348,CZE,1996,,24.464831,,
349,CZE,1997,,24.396092,,
350,CZE,1998,,24.433029,,67.325
351,CZE,1999,,24.918613,,65.625
352,CZE,2000,,25.998047,,64.975
353,CZE,2001,,27.994158,,65.025
354,CZE,2002,,28.429678,,65.425
355,CZE,2003,,29.901424,,64.725
356,CZE,2020,,42.444763,,74.4
357,CZE,2021,,42.573113,,74.4
358,DNK,1970,,27.472263,,
359,DNK,1971,,28.866758,,
360,DNK,1972,,30.399818,,
361,DNK,1973,,32.058011,,
362,DNK,1974,,32.263526,,
363,DNK,1975,,33.589438,,
364,DNK,1976,,34.830328,,
365,DNK,1977,,36.121419,,
366,DNK,1978,,37.157283,,
367,DNK,1979,,38.436488,,
368,DNK,1980,,38.140141,,
369,DNK,1981,,39.262832,,
370,DNK,1982,,40.358549,,
371,DNK,1983,,41.560958,,
372,DNK,1984,,42.8173,,
373,DNK,1985,,43.900178,,
374,DNK,1986,,44.851916,,
375,DNK,1987,,45.762837,,
376,DNK,1988,,46.660917,,
377,DNK,1989,,47.63771,,
378,DNK,1990,,49.031726,,
379,DNK,1991,,50.313361,,
380,DNK,1992,,51.179633,,
381,DNK,1993,,52.15734,,
382,DNK,1994,,55.487238,,
383,DNK,1995,,56.312932,,
384,DNK,1996,,57.655533,,
385,DNK,1997,,58.073442,,
386,DNK,1998,,58.006556,,
387,DNK,1999,,58.597376,,76.05
388,DNK,2000,,59.954667,,76.25
389,DNK,2001,,59.743007,,76.2
390,DNK,2002,,60.234191,,75.875
391,DNK,2003,,61.228274,,75.125
392,DNK,2004,,63.183454,,75.675
393,DNK,2005,,64.048343,,75.9
394,DNK,2006,,64.892447,,77.375
395,DNK,2007,,65.012119,,77.0
396,DNK,2008,,64.044269,,76.325
397,DNK,2009,,63.453957,,73.525
398,DNK,2010,,65.937261,,71.8
399,DNK,2019,,74.832812,,75.0
400,DNK,2020,,75.406175,,74.425
401,FIN,1970,,17.891602,,
402,FIN,1971,,18.769753,,
403,FIN,1972,,20.19845,,
404,FIN,1973,,21.394049,,
405,FIN,1974,,22.072285,,
406,FIN,1975,,23.448613,,
407,FIN,1976,,23.786178,,
408,FIN,1977,,24.380215,,
409,FIN,1978,,25.257122,,
410,FIN,1979,,26.824261,,
411,FIN,1980,,27.771568,,
412,FIN,1981,,27.779305,,
413,FIN,1982,,28.581813,,
414,FIN,1983,,29.73621,,
415,FIN,1984,,30.670306,,
416,FIN,1985,,31.718514,,
417,FIN,1986,,33.029039,,
418,FIN,2019,,61.454045,,72.0
419,FIN,2020,,61.518782,,71.175
420,FRA,1970,,23.895838,,
421,FRA,1971,,25.08375,,
422,FRA,1972,,26.770467,,
423,FRA,1973,,28.316172,,
424,FRA,1974,,29.760027,,
425,FRA,1975,,30.117225,,
426,FRA,1976,,30.736344,,
427,FRA,1977,,32.177911,,
428,FRA,1978,,33.831663,,
429,FRA,1979,,34.864781,,
430,FRA,1980,,35.437723,,
431,FRA,1981,,36.265538,,
432,FRA,1982,,38.617471,,
433,FRA,1983,,39.556884,,
434,FRA,1984,,40.521273,,
435,FRA,1985,,42.149867,,
436,FRA,1986,,43.080524,,
437,FRA,1987,,43.50535,,
438,FRA,1988,,44.910327,,
439,FRA,1989,,46.511042,,
440,FRA,1990,,47.626606,,
441,FRA,1991,,48.223343,,
442,FRA,1992,,49.384037,,
443,FRA,1993,,49.843589,,
444,FRA,1994,,50.872062,,
445,FRA,1995,,52.137055,,
446,FRA,1996,,52.705155,,
447,FRA,1997,,53.577234,,
448,FRA,1998,,54.902497,,
449,FRA,1999,,55.693666,,
450,FRA,2000,,57.168797,,
451,FRA,2001,,58.238429,,
452,FRA,2002,,59.938668,,
453,FRA,2003,,60.280773,,64.425
454,FRA,2004,,60.946954,,64.225
455,FRA,2005,,61.487911,,64.15
456,FRA,2006,,63.018745,,64.15
457,FRA,2007,,62.723395,,64.725
458,FRA,2008,,62.323215,,65.3
459,FRA,2009,,61.685771,,64.425
460,FRA,2010,,62.484285,,64.375
461,FRA,2011,,63.109941,,64.3
462,FRA,2020,,67.655544,,66.1
463,FRA,2021,,67.113151,,67.25
464,DEU,1970,,24.997145,,
465,DEU,1971,,26.088089,,
466,DEU,1972,,27.388072,,
467,DEU,1973,,28.785134,,
468,DEU,1974,,29.947238,,
469,DEU,1975,,31.074,,
470,DEU,1976,,32.522757,,
471,DEU,1977,,33.862079,,
472,DEU,1978,,34.907447,,
473,DEU,1979,,35.906958,,
474,DEU,1980,,36.209255,,
475,DEU,1981,,36.81123,,
476,DEU,1982,,37.192097,,
477,DEU,1983,,38.412381,,
478,DEU,1984,,39.426925,,
479,DEU,1985,,40.336667,,
480,DEU,1986,,40.947861,,
481,DEU,1987,,41.507998,,
482,DEU,1988,,42.578714,,
483,DEU,1989,,44.060484,,
484,DEU,1990,,45.617388,,
485,DEU,1991,,47.203373,,
486,DEU,1992,,48.408308,,
487,DEU,1993,,49.35082,,
488,DEU,1994,,50.628,,
489,DEU,1995,,51.390581,,
490,DEU,1996,,52.255597,,
491,DEU,1997,,53.53631,,
492,DEU,1998,,54.081496,,
493,DEU,1999,,54.695538,,
494,DEU,2000,,56.051436,,
495,DEU,2001,,57.4591,,
496,DEU,2002,,57.991792,,
497,DEU,2003,,58.437853,,
498,DEU,2004,,58.970058,,
499,DEU,2005,,59.900695,,65.45
500,DEU,2006,,60.858653,,67.15
501,DEU,2007,,61.577685,,68.975
502,DEU,2009,,59.739676,,69.375
503,DEU,2010,,61.116778,,70.3
504,DEU,2019,,66.682355,,75.65
505,DEU,2020,,66.937949,,76.15579
506,DEU,2021,,67.558698,,75.775
507,GRC,1983,,26.77867,,
508,GRC,1984,,28.323496,,
509,GRC,1985,,28.083133,,
510,GRC,1986,,28.286112,,
511,GRC,1987,,28.249824,,
512,GRC,1988,,29.140711,,
513,GRC,1989,,29.53317,,
514,GRC,1990,,29.461007,,
515,GRC,1991,,30.471233,,
516,GRC,1992,,29.861671,,
517,GRC,1993,,28.857861,,
518,GRC,1994,,29.3672,,
519,GRC,1995,,29.968877,,
520,GRC,1996,,31.018777,,
521,GRC,1997,,32.570105,,
522,GRC,1998,,32.398392,,55.975
523,GRC,1999,,33.449735,,55.9
524,GRC,2000,,34.595292,,56.45
525,GRC,2001,,36.002957,,56.325
526,GRC,2002,,36.668949,,57.375
527,GRC,2003,,38.283271,,58.5
528,GRC,2020,,34.262803,,53.675
529,HUN,1991,,16.709361,,
530,HUN,1992,,18.085615,,
531,HUN,1993,,19.18435,,
532,HUN,1994,,18.828924,,
533,HUN,1995,,21.758345,,
534,HUN,1996,,21.841212,,
535,HUN,1997,,22.206701,,
536,HUN,1998,,22.974597,,
537,HUN,1999,,23.133427,,55.55
538,HUN,2000,,24.269494,,56.225
539,HUN,2001,,25.669038,,56.2
540,HUN,2002,,27.129321,,56.225
541,HUN,2003,,28.111433,,57.025
542,HUN,2004,,29.798399,,56.75
543,HUN,2005,,31.723352,,56.9
544,HUN,2020,,39.28036,,71.95
545,HUN,2021,,39.133986,,73.075
546,IRL,1970,,15.537211,,
547,IRL,1971,,16.010355,,
548,IRL,1972,,17.413104,,
549,IRL,1973,,18.07774,,
550,IRL,1974,,18.887292,,
551,IRL,1975,,20.201159,,
552,IRL,1976,,20.718599,,
553,IRL,1977,,22.021204,,
554,IRL,1978,,23.554185,,
555,IRL,1979,,23.330179,,
556,IRL,1980,,24.719989,,
557,IRL,1981,,26.001971,,
558,IRL,1982,,26.796167,,
559,IRL,1983,,27.100678,,
560,IRL,1984,,29.062939,,
561,IRL,1985,,29.988647,,
562,IRL,1986,,29.549105,,
563,IRL,1987,,31.049471,,
564,IRL,1988,,32.526546,,
565,IRL,1989,,34.337223,,
566,IRL,1990,,35.880888,,
567,IRL,1991,,37.322428,,
568,IRL,1992,,39.193069,,
569,IRL,1993,,40.183005,,
570,IRL,1994,,41.157405,,
571,IRL,1995,,43.185972,,
572,IRL,1996,,44.912418,,
573,IRL,1997,,47.969646,,
574,IRL,1998,,48.971985,,
575,IRL,1999,,51.131435,,
576,IRL,2000,,53.79148,,65.15
577,IRL,2001,,55.197634,,65.825
578,IRL,2002,,58.128995,,65.45
579,IRL,2003,,59.332231,,65.5
580,IRL,2019,,102.388449,,69.45
581,IRL,2020,,111.837194,,66.55
582,IRL,2021,,119.965149,,
583,ITA,1970,,25.305962,,
584,ITA,1971,,26.437245,,
585,ITA,1972,,27.746945,,
586,ITA,1973,,29.55267,,
587,ITA,1974,,31.189027,,
588,ITA,1975,,30.761898,,
589,ITA,1976,,32.659556,,
590,ITA,1977,,34.014961,,
591,ITA,1978,,35.189797,,
592,ITA,1979,,37.006682,,
593,ITA,1980,,37.709445,,
594,ITA,1981,,37.930318,,
595,ITA,1982,,37.77805,,
596,ITA,1983,,38.111703,,
597,ITA,1984,,39.562281,,
598,ITA,1985,,40.363743,,
599,ITA,1986,,41.048174,,
600,ITA,1987,,41.833545,,
601,ITA,1988,,43.041769,,
602,ITA,1989,,44.572499,,
603,ITA,1990,,45.001814,,
604,ITA,1991,,45.022633,,
605,ITA,1992,,45.652707,,
606,ITA,1993,,46.516213,,
607,ITA,1994,,48.470113,,
608,ITA,1995,,49.907066,,
609,ITA,1996,,49.964089,,
610,ITA,1997,,50.886196,,
611,ITA,1998,,50.921112,,51.925
612,ITA,1999,,51.279218,,52.675
613,ITA,2000,,52.751834,,53.7
614,ITA,2001,,53.105591,,54.8
615,ITA,2002,,52.689151,,55.55
616,ITA,2003,,52.31578,,56.1
617,ITA,2019,,53.667651,,59.05
618,ITA,2020,,54.878829,,57.45
619,ITA,2021,,54.170307,,58.25
620,LUX,1970,,46.34691,,
621,LUX,1971,,46.191178,,
622,LUX,1972,,48.488393,,
623,LUX,1973,,52.389258,,
624,LUX,1974,,53.828135,,
625,LUX,1975,,50.472484,,
626,LUX,1976,,51.33199,,
627,LUX,1977,,52.926793,,
628,LUX,1978,,55.969247,,
629,LUX,1979,,57.547685,,
630,LUX,1980,,58.183288,,
631,LUX,1981,,58.524015,,
632,LUX,1982,,59.973709,,
633,LUX,1983,,62.175483,,
634,LUX,1984,,66.197945,,
635,LUX,1985,,66.845557,,
636,LUX,1986,,72.187116,,
637,LUX,1987,,73.127734,,
638,LUX,1988,,76.060635,,
639,LUX,1989,,81.277089,,
640,LUX,1990,,82.14235,,
641,LUX,1991,,86.739651,,
642,LUX,1992,,87.073564,,
643,LUX,1993,,88.780059,,
644,LUX,1994,,90.948597,,
645,LUX,1995,,89.29036,,
646,LUX,1996,,89.521784,,
647,LUX,1997,,90.955873,,
648,LUX,1998,,93.057507,,
649,LUX,1999,,96.297881,,
650,LUX,2000,,97.459711,,
